Mean,Median,Variance,Standard Deviation,Skewness,Kurtosis,Mean Absolute Deviation,Median Absolute Deviation,Local Contrast,Local Probability,Image,Energy,Contrast,Correlation,Entropy,Homogeneity,Is_Stroke
50.37589349112426,1.0,5320.349702899899,72.94072732637028,1.3992920389306718,1.2004605767882222,61.83261947136305,0.0,1.4279778861815966,50.37589349112426,79 (18).jpg,0.308605718808947,31.863610288016915,0.9970079044977664,3.17231726727153,0.8833923338947706,1
49.84121656804734,1.0,5493.196321549546,74.11610028562988,1.449487146957546,1.2753144678336223,62.23248087851261,0.0,1.388501810440343,49.84121656804734,79 (19).jpg,0.3223759357831787,30.02858361977024,0.9972690497204916,3.069440344783523,0.8880326998233992,1
48.54767573964497,1.0,5354.011892704322,73.17111378614051,1.4606834464937648,1.3161511487812314,61.53822893130075,0.0,1.3777707156646313,48.54767573964497,79 (20).jpg,0.331525915571181,28.753661254000317,0.9973170669167094,3.048240198962097,0.888404323502813,1
47.66254911242604,1.0,5415.453206188416,73.58976291705535,1.471425135997808,1.2824540034427,61.87462874809147,0.0,1.3575107512430575,47.66254911242604,79 (21).jpg,0.3508799941963645,26.84878511319196,0.9975233081350638,2.9152107412676864,0.8888784445139357,1
45.696539644970414,1.0,5471.363589919433,73.96866627105989,1.552767568241232,1.4599883394486204,61.28229493562268,0.0,1.284683809284346,45.696539644970414,79 (22).jpg,0.3787521229607604,24.49656987080732,0.99776351229924,2.7613812692537034,0.8958737440453366,1
43.12596449704142,1.0,5459.633396850811,73.88933209097786,1.6753661099358048,1.809286889997403,59.79588990772032,0.0,1.2306795324571451,43.12596449704142,79 (23).jpg,0.4111957626353012,22.61936707360458,0.9979305910236024,2.597897614070364,0.9014511496144514,1
40.08917869822485,1.0,5549.561803372799,74.49538108750635,1.8485746883019627,2.3020507763379943,57.961761426594286,0.0,1.1223862009844898,40.08917869822485,79 (24).jpg,0.454595870220024,20.44144601161572,0.9981602953700424,2.36580751994739,0.9135351696658356,1
36.11774437869823,1.0,5556.743606083768,74.54356850918641,2.053339293805859,2.9460682037478243,55.04438235371591,0.0,0.984341974396148,36.11774437869823,79 (25).jpg,0.515607713682187,17.358383311603813,0.9984399181542642,2.033062209853723,0.9273956989073564,1
31.12388875739645,1.0,5343.984748617208,73.1025632150967,2.3310930870606343,3.99546735201564,50.001515907560666,0.0,0.8236109377520795,31.12388875739645,79 (26).jpg,0.5855060116472525,14.331672395401416,0.9986607726069896,1.6867268901969703,0.9426606780079824,1
27.040953846153847,1.0,5348.921510948167,73.1363214206742,2.600069360583789,5.002687856107478,45.58720527264451,0.0,0.6070199771263163,27.040953846153847,79 (27).jpg,0.6596925178212223,10.669783098257753,0.9990039475730116,1.2282538529443745,0.9622967588450808,1
33.5196899408284,0.0,5059.196940116882,71.12803202758306,2.1809302324327136,3.5590848895607445,50.74006022544308,0.0,2.329840104098782,33.5196899408284,80 (1).jpg,0.4770217420742875,46.48401090435114,0.9954114867286608,2.8411166188740444,0.8680054250202617,1
50.37176804733728,0.0,7345.545305678744,85.7061567548023,1.4893106496480433,0.7438743062178368,69.75727336529673,0.0,2.3666993153857923,50.37176804733728,80 (10).jpg,0.4070047413504206,53.26866895816153,0.9963777338511272,3.0889541471595434,0.8699404420566801,1
47.83330887573965,0.0,6459.402583299861,80.3704086296683,1.54301159026553,1.112252025864426,65.303132690424,0.0,2.102321749534536,47.83330887573965,80 (12).jpg,0.4033053688530468,46.79784757615321,0.9963811384559852,3.1553998789350017,0.8667383493731692,1
45.72498461538461,0.0,5779.664896715736,76.02410733915747,1.5789583557196292,1.403613898867782,61.764678178607184,0.0,1.980661097809091,45.72498461538461,80 (14).jpg,0.3950797568867912,40.36041720990932,0.9965118394039908,3.2330036011538827,0.8639943444699021,1
45.973294674556215,0.0,5522.072647772338,74.31064962555729,1.560535327470441,1.454493881455404,60.71892083623962,0.0,1.9809358212992223,45.973294674556215,80 (15).jpg,0.3780547934295913,36.73168187744537,0.9966772609027982,3.365682809180776,0.856757811992094,1
50.65467455621302,0.0,5989.963301817164,77.39485319979077,1.4280058404175124,0.9888582305283552,64.213237208221,0.0,2.1444813727779994,50.65467455621302,80 (16).jpg,0.3531529582448298,39.71248073960023,0.996687995284924,3.5075773622514808,0.8495964400196614,1
50.09970414201184,0.0,5699.307424764537,75.49375752182783,1.4014250397512706,1.0049809847991984,63.37362540947448,0.0,1.9747168328398208,50.09970414201184,80 (18).jpg,0.35564112258369,35.77091857295299,0.9968645191065072,3.4628215129299864,0.8473581149054082,1
32.984771597633134,0.0,4946.52260359872,70.3315192754907,2.2318885360733574,3.817935999365535,49.679260446398914,0.0,2.3536948222151097,32.984771597633134,80 (2).jpg,0.4705458708641388,46.14952708308714,0.9953407521609984,2.8764535511833045,0.8661301321456157,1
49.501055621301774,0.0,5432.585336163774,73.70607394349379,1.4099544542959752,1.127940356030817,61.88438707041351,0.0,1.895814859895512,49.501055621301774,80 (20).jpg,0.3510543279446522,30.74602820907924,0.9971726098322728,3.4705858420589024,0.8497834185096405,1
49.376312426035504,0.0,5335.844500200617,73.04686509495542,1.4124837225440148,1.185419137941916,61.2907811030706,0.0,1.8537592277456585,49.376312426035504,80 (22).jpg,0.3520403853624032,29.38915254237297,0.9972483632210226,3.432604234997393,0.8535069705116122,1
49.61234082840237,0.0,5290.126392556026,72.73325506641392,1.3909386925086065,1.1366772310136293,61.24766516746612,0.0,1.8422733082992804,49.61234082840237,80 (24).jpg,0.3513720215772399,28.288097665046976,0.9973285287577508,3.449249046157256,0.8512720084834922,1
